itm.itm_b   itm.itm_c  ydyn.beta_q   ytill.z0   ytill.cf_negis  yneff.delta
    -2.962    -28.700      0.365   -465.600      0.468      0.022
    -2.607    -26.532      0.983   -234.600      0.376      0.041
    -2.755    -29.228      0.773   -276.000      0.333      0.029
    -2.838    -28.960      0.514   -166.800      0.413      0.022
    -2.628    -29.536      0.457   -204.000      0.422      0.047
    -2.785    -28.604      0.309   -367.800      0.138      0.023
    -2.986    -28.432      0.827   -454.800      0.235      0.036
    -2.717    -26.312      0.525   -195.000      0.309      0.031
    -2.974    -29.676      0.671   -336.000      0.357      0.028
    -2.742    -29.024      0.735   -574.800      0.131      0.032
    -2.668    -27.560      0.470   -240.600      0.369      0.049
    -2.978    -26.948      0.662   -126.000      0.420      0.025
    -2.960    -29.388      0.559   -422.400      0.384      0.026
    -2.970    -26.048      0.622    -52.800      0.391      0.036
    -2.686    -27.208      0.769   -433.800      0.285      0.023
    -2.632    -29.280      0.241   -204.600      0.367      0.022
    -2.812    -29.576      0.378   -436.200      0.465      0.026
    -2.822    -29.936      0.171   -564.600      0.472      0.043
    -2.738    -28.584      0.687   -313.200      0.486      0.024
    -2.684    -29.956      0.129   -595.800      0.438      0.046
    -2.725    -26.060      0.467   -215.400      0.327      0.036
    -2.982    -27.920      0.838   -251.400      0.494      0.044
    -2.928    -29.768      0.392   -424.200      0.468      0.048
    -2.627    -29.428      0.327   -475.800      0.440      0.044
    -2.964    -28.988      0.119   -268.800      0.447      0.027
    -2.988    -28.768      0.095   -402.600      0.412      0.029
    -2.612    -28.388      0.639   -409.800      0.283      0.050
    -2.723    -26.828      0.299   -592.800      0.158      0.030
    -2.743    -26.188      0.044   -105.000      0.144      0.047
    -2.808    -26.632      0.592    -42.000      0.424      0.031
    -2.816    -26.916      0.022   -112.800      0.244      0.049
    -2.931    -28.136      0.431   -523.200      0.441      0.040
    -2.994    -27.740      0.447   -498.600      0.474      0.041
    -2.952    -26.544      0.537   -577.200      0.132      0.032
    -2.654    -27.388      0.378   -231.600      0.239      0.045
    -2.948    -29.168      0.400   -516.600      0.309      0.034
    -2.851    -29.696      0.758   -256.800      0.112      0.033
    -2.748    -29.592      0.612   -242.400      0.314      0.034
    -2.798    -28.372      0.633    -70.200      0.250      0.049
    -2.757    -29.088      0.178   -468.600      0.288      0.025
    -2.854    -27.420      0.408   -189.000      0.146      0.029
    -2.918    -29.616      0.487   -451.800      0.355      0.028
    -2.705    -26.768      0.883   -507.000      0.107      0.049
    -2.979    -27.228      0.663   -493.800      0.394      0.041
    -2.869    -27.848      0.490     -1.800      0.368      0.047
    -2.695    -29.324      0.719   -565.200      0.225      0.042
    -2.924    -26.936      0.142   -157.200      0.396      0.025
    -2.980    -29.512      0.565   -304.800      0.338      0.031
    -2.606    -28.812      0.249   -280.800      0.108      0.030
    -2.766    -26.168      0.108   -586.200      0.184      0.047
    -2.903    -29.792      0.922   -172.800      0.130      0.024
    -2.931    -26.396      0.928   -399.600      0.258      0.021
    -2.841    -27.256      0.125   -469.200      0.428      0.036
    -2.904    -27.408      0.427   -457.800      0.124      0.045
    -2.877    -26.108      0.375    -78.000      0.363      0.042
    -2.900    -27.524      0.502   -186.600      0.350      0.025
    -2.839    -27.836      0.764   -567.600      0.371      0.039
    -2.968    -28.504      0.073   -519.000      0.269      0.028
    -2.806    -29.572      0.578   -492.600      0.242      0.033
    -2.872    -27.804      0.051   -145.200      0.394      0.048
    -2.708    -26.992      0.782   -346.800      0.244      0.036
    -2.920    -27.888      0.969   -286.200      0.137      0.038
    -2.893    -28.248      0.395   -446.400      0.498      0.040
    -2.799    -27.032      0.439   -485.400      0.304      0.031
    -2.660    -27.680      0.192   -568.200      0.110      0.021
    -2.615    -28.220      0.276   -121.200      0.326      0.029
    -2.693    -27.092      0.974   -161.400      0.141      0.045
    -2.623    -26.320      0.046   -260.400      0.319      0.041
    -2.630    -28.556      0.361    -15.000      0.222      0.037
    -2.831    -26.972      0.092   -582.000      0.376      0.028
    -2.670    -27.000      0.148   -480.600      0.463      0.046
    -2.909    -29.876      0.250   -535.200      0.496      0.038
    -2.976    -28.188      0.078   -412.800      0.134      0.027
    -2.834    -27.672      0.033   -551.400      0.418      0.049
    -2.820    -27.436      0.552   -473.400      0.384      0.033
    -2.719    -26.680      0.589   -459.600      0.380      0.030
    -2.946    -29.248      0.576   -180.000      0.270      0.027
    -2.906    -29.136      0.018   -239.400      0.373      0.039
    -2.648    -29.332      0.998   -555.000      0.174      0.042
    -2.672    -26.756      0.549   -193.200      0.237      0.032
    -2.602    -27.608      0.600   -256.800      0.101      0.045
    -2.852    -26.248      0.010   -282.600      0.266      0.027
    -2.679    -27.300      0.211   -388.200      0.436      0.048
    -2.848    -28.280      0.437   -374.400      0.335      0.046
    -2.990    -27.860      0.214   -514.200      0.206      0.021
    -2.608    -26.228      0.805   -195.000      0.196      0.025
    -2.718    -28.792      0.708   -487.200      0.409      0.026
    -2.644    -27.960      0.156   -551.400      0.136      0.044
    -2.809    -27.284      0.878   -488.400      0.150      0.034
    -2.775    -28.588      0.454    -94.200      0.348      0.039
    -2.758    -26.348      0.650   -324.000      0.325      0.029
    -2.791    -29.668      0.790   -366.600      0.302      0.046
    -2.849    -28.752      0.932   -513.600      0.161      0.023
    -2.857    -29.896      0.690   -543.000      0.206      0.032
    -2.746    -28.040      0.712   -386.400      0.267      0.037
    -2.601    -28.940      0.207   -216.000      0.460      0.047
    -2.913    -26.184      0.511    -55.200      0.275      0.050
    -2.998    -29.184      0.278    -87.600      0.274      0.033
    -2.734    -29.124      0.750   -190.800      0.390      0.031
    -2.971    -27.988      0.164   -392.400      0.408      0.030
    -2.845    -26.012      0.223   -219.000      0.110      0.034
    -2.796    -28.696      0.232    -45.000      0.298      0.021
    -2.673    -29.448      0.291    -33.600      0.414      0.046
    -2.706    -29.836      0.820   -247.200      0.163      0.043
