time	alpha
 -300000	 0.9392800
 -299950	 0.9388474
 -299900	 0.9384153
 -299850	 0.9379836
 -299800	 0.9375522
 -299750	 0.9371210
 -299700	 0.9366900
 -299650	 0.9362591
 -299600	 0.9358283
 -299550	 0.9353973
 -299500	 0.9349663
 -299450	 0.9345351
 -299400	 0.9341035
 -299350	 0.9336716
 -299300	 0.9332392
 -299250	 0.9328063
 -299200	 0.9323728
 -299150	 0.9319386
 -299100	 0.9315035
 -299050	 0.9310676
 -299000	 0.9306307
 -298950	 0.9301928
 -298900	 0.9297537
 -298850	 0.9293133
 -298800	 0.9288716
 -298750	 0.9284284
 -298700	 0.9279838
 -298650	 0.9275375
 -298600	 0.9270894
 -298550	 0.9266396
 -298500	 0.9261879
 -298450	 0.9257341
 -298400	 0.9252782
 -298350	 0.9248202
 -298300	 0.9243598
 -298250	 0.9238970
 -298200	 0.9234317
 -298150	 0.9229638
 -298100	 0.9224933
 -298050	 0.9220199
 -298000	 0.9215436
 -297950	 0.9210643
 -297900	 0.9205819
 -297850	 0.9200963
 -297800	 0.9196074
 -297750	 0.9191150
 -297700	 0.9186192
 -297650	 0.9181198
 -297600	 0.9176167
 -297550	 0.9171097
 -297500	 0.9165989
 -297450	 0.9160841
 -297400	 0.9155651
 -297350	 0.9150420
 -297300	 0.9145146
 -297250	 0.9139827
 -297200	 0.9134464
 -297150	 0.9129055
 -297100	 0.9123600
 -297050	 0.9118096
 -297000	 0.9112544
 -296950	 0.9106942
 -296900	 0.9101290
 -296850	 0.9095587
 -296800	 0.9089831
 -296750	 0.9084021
 -296700	 0.9078158
 -296650	 0.9072240
 -296600	 0.9066266
 -296550	 0.9060235
 -296500	 0.9054147
 -296450	 0.9048001
 -296400	 0.9041795
 -296350	 0.9035530
 -296300	 0.9029204
 -296250	 0.9022816
 -296200	 0.9016367
 -296150	 0.9009854
 -296100	 0.9003278
 -296050	 0.8996638
 -296000	 0.8989932
 -295950	 0.8983161
 -295900	 0.8976324
 -295850	 0.8969420
 -295800	 0.8962448
 -295750	 0.8955408
 -295700	 0.8948299
 -295650	 0.8941122
 -295600	 0.8933874
 -295550	 0.8926556
 -295500	 0.8919168
 -295450	 0.8911708
 -295400	 0.8904176
 -295350	 0.8896573
 -295300	 0.8888897
 -295250	 0.8881148
