        time        alpha
     -300000      -11.710
     -299950      -11.711
     -299900      -11.713
     -299850      -11.715
     -299800      -11.718
     -299750      -11.721
     -299700      -11.724
     -299650      -11.729
     -299600      -11.733
     -299550      -11.738
     -299500      -11.744
     -299450      -11.750
     -299400      -11.757
     -299350      -11.764
     -299300      -11.772
     -299250      -11.780
     -299200      -11.789
     -299150      -11.798
     -299100      -11.808
     -299050      -11.818
     -299000      -11.829
     -298950      -11.840
     -298900      -11.852
     -298850      -11.864
     -298800      -11.876
     -298750      -11.889
     -298700      -11.902
     -298650      -11.916
     -298600      -11.930
     -298550      -11.945
     -298500      -11.960
     -298450      -11.975
     -298400      -11.991
     -298350      -12.007
     -298300      -12.023
     -298250      -12.040
     -298200      -12.058
     -298150      -12.075
     -298100      -12.093
     -298050      -12.111
     -298000      -12.130
     -297950      -12.149
     -297900      -12.168
     -297850      -12.187
     -297800      -12.207
     -297750      -12.227
     -297700      -12.247
     -297650      -12.267
     -297600      -12.288
     -297550      -12.309
     -297500      -12.330
     -297450      -12.351
     -297400      -12.373
     -297350      -12.394
     -297300      -12.416
     -297250      -12.438
     -297200      -12.460
     -297150      -12.482
     -297100      -12.504
     -297050      -12.526
     -297000      -12.549
     -296950      -12.571
     -296900      -12.594
     -296850      -12.616
     -296800      -12.639
     -296750      -12.662
     -296700      -12.684
     -296650      -12.707
     -296600      -12.729
     -296550      -12.752
     -296500      -12.774
     -296450      -12.797
     -296400      -12.819
     -296350      -12.841
     -296300      -12.863
     -296250      -12.885
     -296200      -12.907
     -296150      -12.928
     -296100      -12.950
     -296050      -12.971
     -296000      -12.992
     -295950      -13.013
     -295900      -13.034
     -295850      -13.054
     -295800      -13.075
     -295750      -13.094
     -295700      -13.114
     -295650      -13.133
     -295600      -13.152
     -295550      -13.171
     -295500      -13.190
     -295450      -13.208
     -295400      -13.225
     -295350      -13.243
     -295300      -13.260
     -295250      -13.276
     -295200      -13.292
     -295150      -13.308
     -295100      -13.323
     -295050      -13.338
     -295000      -13.352
     -294950      -13.366
     -294900      -13.380
     -294850      -13.393
     -294800      -13.405
     -294750      -13.417
     -294700      -13.428
     -294650      -13.439
     -294600      -13.449
     -294550      -13.459
     -294500      -13.468
     -294450      -13.477
     -294400      -13.485
     -294350      -13.492
     -294300      -13.499
     -294250      -13.505
     -294200      -13.511
     -294150      -13.516
     -294100      -13.520
     -294050      -13.524
     -294000      -13.527
     -293950      -13.529
     -293900      -13.531
     -293850      -13.532
     -293800      -13.532
     -293750      -13.531
     -293700      -13.530
     -293650      -13.529
     -293600      -13.526
     -293550      -13.523
     -293500      -13.519
     -293450      -13.514
     -293400      -13.509
     -293350      -13.503
     -293300      -13.496
     -293250      -13.488
     -293200      -13.480
     -293150      -13.471
     -293100      -13.461
     -293050      -13.451
     -293000      -13.439
     -292950      -13.427
     -292900      -13.414
     -292850      -13.401
     -292800      -13.387
     -292750      -13.372
     -292700      -13.356
     -292650      -13.340
     -292600      -13.322
     -292550      -13.304
     -292500      -13.286
     -292450      -13.266
     -292400      -13.246
     -292350      -13.225
     -292300      -13.204
     -292250      -13.182
     -292200      -13.159
     -292150      -13.135
     -292100      -13.111
     -292050      -13.086
     -292000      -13.060
     -291950      -13.033
     -291900      -13.006
     -291850      -12.978
     -291800      -12.950
     -291750      -12.921
     -291700      -12.891
     -291650      -12.861
     -291600      -12.830
     -291550      -12.798
     -291500      -12.766
     -291450      -12.734
     -291400      -12.700
     -291350      -12.666
     -291300      -12.632
     -291250      -12.597
     -291200      -12.561
     -291150      -12.525
     -291100      -12.489
     -291050      -12.452
     -291000      -12.414
     -290950      -12.376
     -290900      -12.338
     -290850      -12.299
     -290800      -12.260
     -290750      -12.220
     -290700      -12.180
     -290650      -12.139
     -290600      -12.099
     -290550      -12.057
     -290500      -12.016
     -290450      -11.974
     -290400      -11.932
     -290350      -11.889
     -290300      -11.847
     -290250      -11.804
     -290200      -11.761
     -290150      -11.717
     -290100      -11.674
     -290050      -11.630
     -290000      -11.586
     -289950      -11.542
     -289900      -11.498
     -289850      -11.453
     -289800      -11.409
     -289750      -11.365
     -289700      -11.320
     -289650      -11.276
     -289600      -11.231
     -289550      -11.186
     -289500      -11.142
     -289450      -11.097
     -289400      -11.053
     -289350      -11.009
     -289300      -10.964
     -289250      -10.920
     -289200      -10.876
     -289150      -10.833
     -289100      -10.789
     -289050      -10.745
     -289000      -10.702
     -288950      -10.659
     -288900      -10.617
     -288850      -10.574
     -288800      -10.532
     -288750      -10.490
     -288700      -10.449
     -288650      -10.407
     -288600      -10.367
     -288550      -10.326
     -288500      -10.286
     -288450      -10.246
     -288400      -10.207
     -288350      -10.169
     -288300      -10.130
     -288250      -10.093
     -288200      -10.055
     -288150      -10.019
     -288100       -9.982
     -288050       -9.947
     -288000       -9.912
     -287950       -9.877
     -287900       -9.843
     -287850       -9.810
     -287800       -9.778
     -287750       -9.746
     -287700       -9.714
     -287650       -9.684
     -287600       -9.654
     -287550       -9.625
     -287500       -9.596
     -287450       -9.569
     -287400       -9.542
     -287350       -9.515
     -287300       -9.490
     -287250       -9.465
     -287200       -9.442
     -287150       -9.419
     -287100       -9.396
     -287050       -9.375
     -287000       -9.354
     -286950       -9.335
     -286900       -9.316
     -286850       -9.298
     -286800       -9.281
     -286750       -9.265
     -286700       -9.249
     -286650       -9.235
     -286600       -9.222
     -286550       -9.209
     -286500       -9.197
     -286450       -9.187
     -286400       -9.177
     -286350       -9.168
     -286300       -9.160
     -286250       -9.153
     -286200       -9.147
     -286150       -9.142
     -286100       -9.138
     -286050       -9.135
     -286000       -9.133
     -285950       -9.132
     -285900       -9.132
     -285850       -9.132
     -285800       -9.134
     -285750       -9.137
     -285700       -9.140
     -285650       -9.145
     -285600       -9.151
     -285550       -9.157
     -285500       -9.165
     -285450       -9.173
     -285400       -9.183
     -285350       -9.193
     -285300       -9.205
     -285250       -9.217
     -285200       -9.230
     -285150       -9.244
     -285100       -9.259
     -285050       -9.275
     -285000       -9.292
     -284950       -9.310
     -284900       -9.329
     -284850       -9.349
     -284800       -9.370
     -284750       -9.391
     -284700       -9.413
     -284650       -9.437
     -284600       -9.461
     -284550       -9.486
     -284500       -9.512
     -284450       -9.538
     -284400       -9.566
     -284350       -9.594
     -284300       -9.623
     -284250       -9.653
     -284200       -9.684
     -284150       -9.715
     -284100       -9.748
     -284050       -9.781
     -284000       -9.814
     -283950       -9.849
     -283900       -9.884
     -283850       -9.920
     -283800       -9.956
     -283750       -9.994
     -283700      -10.031
     -283650      -10.070
     -283600      -10.109
     -283550      -10.149
     -283500      -10.189
     -283450      -10.230
     -283400      -10.272
     -283350      -10.314
     -283300      -10.357
     -283250      -10.400
     -283200      -10.444
     -283150      -10.488
     -283100      -10.533
     -283050      -10.578
     -283000      -10.624
     -282950      -10.670
     -282900      -10.717
     -282850      -10.764
     -282800      -10.811
     -282750      -10.859
     -282700      -10.907
     -282650      -10.956
     -282600      -11.005
     -282550      -11.054
     -282500      -11.103
     -282450      -11.153
     -282400      -11.203
     -282350      -11.254
     -282300      -11.304
     -282250      -11.355
     -282200      -11.406
     -282150      -11.458
     -282100      -11.509
     -282050      -11.561
     -282000      -11.613
     -281950      -11.665
     -281900      -11.717
     -281850      -11.769
     -281800      -11.822
     -281750      -11.874
     -281700      -11.927
     -281650      -11.979
     -281600      -12.032
     -281550      -12.085
     -281500      -12.138
     -281450      -12.191
     -281400      -12.243
     -281350      -12.296
     -281300      -12.349
     -281250      -12.402
     -281200      -12.455
     -281150      -12.507
     -281100      -12.560
     -281050      -12.612
     -281000      -12.665
     -280950      -12.717
     -280900      -12.770
     -280850      -12.822
     -280800      -12.874
     -280750      -12.926
     -280700      -12.977
     -280650      -13.029
     -280600      -13.080
     -280550      -13.132
     -280500      -13.183
     -280450      -13.234
     -280400      -13.284
     -280350      -13.335
     -280300      -13.385
     -280250      -13.435
     -280200      -13.485
     -280150      -13.535
     -280100      -13.584
     -280050      -13.633
     -280000      -13.682
     -279950      -13.731
     -279900      -13.779
     -279850      -13.827
     -279800      -13.875
     -279750      -13.922
     -279700      -13.970
     -279650      -14.017
     -279600      -14.063
     -279550      -14.110
     -279500      -14.156
     -279450      -14.202
     -279400      -14.247
     -279350      -14.292
     -279300      -14.337
     -279250      -14.382
     -279200      -14.426
     -279150      -14.470
     -279100      -14.514
     -279050      -14.557
     -279000      -14.600
     -278950      -14.643
     -278900      -14.685
     -278850      -14.728
     -278800      -14.769
     -278750      -14.811
     -278700      -14.852
     -278650      -14.893
     -278600      -14.933
     -278550      -14.973
     -278500      -15.013
     -278450      -15.053
     -278400      -15.092
     -278350      -15.131
     -278300      -15.170
     -278250      -15.208
     -278200      -15.246
     -278150      -15.284
     -278100      -15.321
     -278050      -15.358
     -278000      -15.395
     -277950      -15.432
     -277900      -15.468
     -277850      -15.504
     -277800      -15.539
     -277750      -15.575
     -277700      -15.610
     -277650      -15.644
     -277600      -15.679
     -277550      -15.713
     -277500      -15.747
     -277450      -15.781
     -277400      -15.814
     -277350      -15.847
     -277300      -15.880
     -277250      -15.912
     -277200      -15.945
     -277150      -15.977
     -277100      -16.009
     -277050      -16.040
     -277000      -16.071
     -276950      -16.103
     -276900      -16.133
     -276850      -16.164
     -276800      -16.194
     -276750      -16.224
     -276700      -16.254
     -276650      -16.284
     -276600      -16.313
     -276550      -16.342
     -276500      -16.371
     -276450      -16.400
     -276400      -16.429
     -276350      -16.457
     -276300      -16.485
     -276250      -16.513
     -276200      -16.541
     -276150      -16.568
     -276100      -16.595
     -276050      -16.622
     -276000      -16.649
     -275950      -16.676
     -275900      -16.702
     -275850      -16.729
     -275800      -16.755
     -275750      -16.780
     -275700      -16.806
     -275650      -16.832
     -275600      -16.857
     -275550      -16.882
     -275500      -16.907
     -275450      -16.931
     -275400      -16.956
     -275350      -16.980
     -275300      -17.004
     -275250      -17.028
     -275200      -17.052
     -275150      -17.075
     -275100      -17.099
     -275050      -17.122
     -275000      -17.144
     -274950      -17.167
     -274900      -17.190
     -274850      -17.212
     -274800      -17.234
     -274750      -17.256
     -274700      -17.278
     -274650      -17.299
     -274600      -17.320
     -274550      -17.341
     -274500      -17.362
     -274450      -17.383
     -274400      -17.403
     -274350      -17.423
     -274300      -17.443
     -274250      -17.462
     -274200      -17.482
     -274150      -17.501
     -274100      -17.520
     -274050      -17.539
     -274000      -17.557
     -273950      -17.575
     -273900      -17.593
     -273850      -17.611
     -273800      -17.628
     -273750      -17.645
     -273700      -17.662
     -273650      -17.679
     -273600      -17.695
     -273550      -17.711
     -273500      -17.727
     -273450      -17.742
     -273400      -17.757
     -273350      -17.772
     -273300      -17.786
     -273250      -17.800
     -273200      -17.814
     -273150      -17.828
     -273100      -17.841
     -273050      -17.854
     -273000      -17.866
     -272950      -17.878
     -272900      -17.890
     -272850      -17.902
     -272800      -17.913
     -272750      -17.924
     -272700      -17.934
     -272650      -17.944
     -272600      -17.953
     -272550      -17.963
     -272500      -17.971
     -272450      -17.980
     -272400      -17.988
     -272350      -17.995
     -272300      -18.003
     -272250      -18.009
     -272200      -18.016
     -272150      -18.022
     -272100      -18.027
     -272050      -18.032
     -272000      -18.037
