time	alpha
 -300000	 0.1194385430
 -299950	 0.1194497926
 -299900	 0.1194666681
 -299850	 0.1194891710
 -299800	 0.1195173031
 -299750	 0.1195510666
 -299700	 0.1195904644
 -299650	 0.1196354995
 -299600	 0.1196861757
 -299550	 0.1197424970
 -299500	 0.1198044679
 -299450	 0.1198720935
 -299400	 0.1199453791
 -299350	 0.1200243304
 -299300	 0.1201089538
 -299250	 0.1201992559
 -299200	 0.1202952437
 -299150	 0.1203969246
 -299100	 0.1205043065
 -299050	 0.1206173976
 -299000	 0.1207362064
 -298950	 0.1208607419
 -298900	 0.1209910133
 -298850	 0.1211270302
 -298800	 0.1212688026
 -298750	 0.1214163406
 -298700	 0.1215696550
 -298650	 0.1217287565
 -298600	 0.1218936562
 -298550	 0.1220643657
 -298500	 0.1222408964
 -298450	 0.1224232603
 -298400	 0.1226114695
 -298350	 0.1228055364
 -298300	 0.1230054735
 -298250	 0.1232112934
 -298200	 0.1234230090
 -298150	 0.1236406335
 -298100	 0.1238641799
 -298050	 0.1240936615
 -298000	 0.1243290916
 -297950	 0.1245704839
 -297900	 0.1248178516
 -297850	 0.1250712085
 -297800	 0.1253305681
 -297750	 0.1255959439
 -297700	 0.1258673498
 -297650	 0.1261447991
 -297600	 0.1264283054
 -297550	 0.1267178823
 -297500	 0.1270135430
 -297450	 0.1273153009
 -297400	 0.1276231692
 -297350	 0.1279371608
 -297300	 0.1282572885
 -297250	 0.1285835651
 -297200	 0.1289160029
 -297150	 0.1292546142
 -297100	 0.1295994109
 -297050	 0.1299504045
 -297000	 0.1303076066
 -296950	 0.1306710281
 -296900	 0.1310406796
 -296850	 0.1314165715
 -296800	 0.1317987136
 -296750	 0.1321871155
 -296700	 0.1325817862
 -296650	 0.1329827341
 -296600	 0.1333899675
 -296550	 0.1338034938
 -296500	 0.1342233200
 -296450	 0.1346494525
 -296400	 0.1350818973
 -296350	 0.1355206595
 -296300	 0.1359657437
 -296250	 0.1364171539
 -296200	 0.1368748932
 -296150	 0.1373389642
 -296100	 0.1378093687
 -296050	 0.1382861077
 -296000	 0.1387691813
 -295950	 0.1392585891
 -295900	 0.1397543296
 -295850	 0.1402564005
 -295800	 0.1407647987
 -295750	 0.1412795202
 -295700	 0.1418005598
 -295650	 0.1423279118
 -295600	 0.1428615690
 -295550	 0.1434015237
 -295500	 0.1439477668
 -295450	 0.1445002882
 -295400	 0.1450590770
 -295350	 0.1456241209
 -295300	 0.1461954065
 -295250	 0.1467729195
 -295200	 0.1473566441
 -295150	 0.1479465636
 -295100	 0.1485426598
 -295050	 0.1491449135
 -295000	 0.1497533040
 -294950	 0.1503678096
 -294900	 0.1509884072
 -294850	 0.1516150722
 -294800	 0.1522477788
 -294750	 0.1528865000
 -294700	 0.1535312071
 -294650	 0.1541818702
 -294600	 0.1548384579
 -294550	 0.1555009376
 -294500	 0.1561692749
 -294450	 0.1568434342
 -294400	 0.1575233782
 -294350	 0.1582090684
 -294300	 0.1589004646
 -294250	 0.1595975250
 -294200	 0.1603002065
 -294150	 0.1610084642
 -294100	 0.1617222517
 -294050	 0.1624415210
 -294000	 0.1631662226
 -293950	 0.1638963051
 -293900	 0.1646317159
 -293850	 0.1653724002
 -293800	 0.1661183019
 -293750	 0.1668693631
 -293700	 0.1676255243
 -293650	 0.1683867240
 -293600	 0.1691528992
 -293550	 0.1699239852
 -293500	 0.1706999154
 -293450	 0.1714806215
 -293400	 0.1722660335
 -293350	 0.1730560795
 -293300	 0.1738506859
 -293250	 0.1746497772
 -293200	 0.1754532764
 -293150	 0.1762611043
 -293100	 0.1770731802
 -293050	 0.1778894215
 -293000	 0.1787097436
 -292950	 0.1795340604
 -292900	 0.1803622838
 -292850	 0.1811943238
 -292800	 0.1820300888
 -292750	 0.1828694851
