time beta 
-121950 0.41357329
-121900 0.41436335
-121850 0.41546589
-121800 0.41679078
-121750 0.41823176
-121700 0.41967674
-121650 0.42101860
-121600 0.42216568
-121550 0.42305081
-121500 0.42363802
-121450 0.42392643
-121400 0.42395069
-121350 0.42377809
-121300 0.42350250
-121250 0.42323562
-121200 0.42309645
-121150 0.42319984
-121100 0.42364519
-121050 0.42450651
-121000 0.42582453
-120950 0.42760190
-120900 0.42980186
-120850 0.43235050
-120800 0.43514272
-120750 0.43805112
-120700 0.44093735
-120650 0.44366478
-120600 0.44611139
-120550 0.44818182
-120500 0.44981735
-120450 0.45100304
-120400 0.45177113
-120350 0.45220053
-120300 0.45241219
-120250 0.45256078
-120200 0.45282323
-120150 0.45338514
-120100 0.45442607
-120050 0.45610503
-120000 0.45854727
-119950 0.46183363
-119900 0.46599313
-119850 0.47099962
-119800 0.47677265
-119750 0.48318250
-119700 0.49005891
-119650 0.49720280
-119600 0.50439993
-119550 0.51143531
-119500 0.51810719
-119450 0.52423945
-119400 0.52969129
-119350 0.53436353
-119300 0.53820107
-119250 0.54119126
-119200 0.54335870
-119150 0.54475674
-119100 0.54545687
-119050 0.54553687
-119000 0.54506905
-118950 0.54410967
-118900 0.54269072
-118850 0.54081482
-118800 0.53845390
-118750 0.53555176
-118700 0.53203050
-118650 0.52780017
-118600 0.52277076
-118550 0.51686554
-118500 0.51003440
-118450 0.50226582
-118400 0.49359635
-118350 0.48411642
-118300 0.47397176
-118250 0.46336003
-118200 0.45252253
-118150 0.44173161
-118100 0.43127436
-118050 0.42143384
-118000 0.41246928
-117950 0.40459663
-117900 0.39797125
-117850 0.39267388
-117800 0.38870138
-117750 0.38596295
-117700 0.38428238
-117650 0.38340626
-117600 0.38301787
-117550 0.38275568
-117500 0.38223540
-117450 0.38107394
-117400 0.37891370
-117350 0.37544541
-117300 0.37042804
-117250 0.36370418
-117200 0.35521015
-117150 0.34497988
-117100 0.33314253
-117050 0.31991411
-117000 0.30558367
-116950 0.29049520
-116900 0.27502659
-116850 0.25956713
-116800 0.24449520
-116750 0.23015756
-116700 0.21685175
-116650 0.20481257
-116600 0.19420335
-116550 0.18511255
-116500 0.17755543
-116450 0.17148049
-116400 0.16677989
-116350 0.16330286
-116300 0.16087087
-116250 0.15929338
-116200 0.15838284
-116150 0.15796798
-116100 0.15790432
-116050 0.15808147
-116000 0.15842675
-115950 0.15890508
-115900 0.15951558
-115850 0.16028526
-115800 0.16126055
-115750 0.16249767
-115700 0.16405253
-115650 0.16597125
-115600 0.16828208
-115550 0.17098918
-115500 0.17406904
