# Time[yr]	RSL[m]
-449000	-111.71801908396945
-448000	-111.23328625954197
-447000	-110.03534891676168
-446000	-108.71645876092741
-445000	-107.28234881791789
-444000	-105.44908461219413
-443000	-103.61582040647036
-442000	-104.01971826625386
-441000	-104.93819091847264
-440000	-109.6885515277059
-439000	-114.98632470222691
-438000	-114.29905779153768
-437000	-113.27765354738472
-436000	-115.71991144484718
-435000	-117.8441812688822
-434000	-116.04659818731122
-433000	-112.47464743589751
-432000	-108.91016935483876
-431000	-99.7820717741939
-430000	-73.32583464566859
-429000	-62.5038732718894
-428000	-47.353344195519284
-427000	-51.62425714285722
-426000	-52.40642187499999
-425000	-53.076
-424000	-46.76112992125985
-423000	-40.15428346456695
-422000	-36.166
-421000	-33.816818548387026
-420000	-33.67305511811037
-419000	-28.086059055118223
-418000	-22.456289156626486
-417000	-23.651974409448854
-416000	-24.072076923076853
-415000	-17.531583826430023
-414000	-18.15193700787402
-413000	-22.362718875502008
-412000	-18.340096774193533
-411000	-16.863963709677357
-410000	-15.571913385826775
-409000	-12.578399999999984
-408000	-13.992123076923074
-407000	-11.141441295546606
-406000	-8.506757085020299
-405000	-3.1880476190476146
-404000	-8.325603448275698
-403000	-7.444689655172367
-402000	-5.8540679611651365
-401000	-8.973181818181832
-400000	-15.392759090909122
-399000	-19.252673076923056
-398000	-23.98837500000004
-397000	-31.203287769784108
-396000	-32.61651891891891
-395000	-31.663941176470587
-394000	-32.14715135135134
-393000	-34.87832972972983
-392000	-37.50888709677422
-391000	-40.94704379562045
-390000	-42.470729927007355
-389000	-44.54603649635033
-388000	-42.54272262773702
-387000	-31.28089781021899
-386000	-34.258456521739035
-385000	-41.05918978102185
-384000	-46.20525547445255
-383000	-45.32385401459839
-382000	-40.21053284671532
-381000	-40.60080291970806
-380000	-43.28599270073003
-379000	-50.71374452554746
-378000	-50.635467153284694
-377000	-54.18571532846698
-376000	-57.98146376811594
-375000	-60.02992307692307
-374000	-56.975
-373000	-62.98705405405412
-372000	-55.90356910569122
-371000	-51.58544165170555
-370000	-59.40008362369341
-369000	-62.67641968911923
-368000	-69.64917662337662
-367000	-67.62504439252331
-366000	-70.82560344827587
-365000	-68.32414285714285
-364000	-72.1060205479451
-363000	-77.55169306930692
-362000	-78.85304456824512
-361000	-82.93023850267379
-360000	-87.63715294117648
-359000	-88.33230529172319
-358000	-91.2831860962567
-357000	-92.6172962566845
-356000	-95.42762962962979
-355000	-95.32112179487189
-354000	-88.11130706243601
-353000	-86.5098826583593
-352000	-85.28206227967098
-351000	-81.79640443213285
-350000	-83.31843830787317
-349000	-81.4632971506106
-348000	-78.68606193353476
-347000	-85.31589572192533
-346000	-89.12478156312633
-345000	-90.74219926199261
-344000	-101.75846212121225
-343000	-106.54371428571426
-342000	-107.98150000000004
-341000	-106.70649605263168
-340000	-107.0134954792044
-339000	-105.06451384615382
-338000	-95.78826515151529
-337000	-89.6622454873647
-336000	-86.35309042553202
-335000	-82.3274500648508
-334000	-52.30022088353398
-333000	-18.703025000000366
-332000	-15.765223021582717
-331000	-12.221637931034508
-330000	-12.828915254237304
-329000	-11.42315555555556
-328000	-11.246077777777833
-327000	-10.248867924528389
-326000	-17.458188679245396
-325000	-23.812733333333416
-324000	-28.093417322834544
-323000	-35.67693333333331
-322000	-32.46467741935486
-321000	-33.45876296296297
-320000	-44.766748031496505
-319000	-55.138555555555556
-318000	-50.367407239818846
-317000	-37.891839924670734
-316000	-36.38343427620647
-315000	-37.93819354838712
-314000	-36.61953442622957
-313000	-41.78070117647057
-312000	-41.67784967320267
-311000	-45.160554838709686
-310000	-49.426250370370376
-309000	-49.50762433862431
-308000	-54.94925157232707
-307000	-51.435182481751795
-306000	-52.776852554744565
-305000	-49.17143697478998
-304000	-54.89156642335745
-303000	-58.43271654676261
-302000	-61.1096009615385
-301000	-57.9372676258992
-300000	-61.920547077922045
-299000	-69.43548175182484
-298000	-66.35887050359712
-297000	-64.97524385245892
-296000	-63.19009302325581
-295000	-56.258679300291575
-294000	-57.013458033573116
-293000	-46.03247765363153
-292000	-32.58126126126127
-291000	-38.908418367346925
-290000	-38.42445054945055
-289000	-41.87282517482517
-288000	-48.29656812339337
-287000	-48.352944517833556
-286000	-53.353123222748756
-285000	-62.01799736495389
-284000	-62.77792744063324
-283000	-68.48497493403681
-282000	-78.32664835164836
-281000	-82.18458710407232
-280000	-79.48493916755609
-279000	-83.12108269525272
-278000	-87.24799239543734
-277000	-88.96196332254567
-276000	-96.75506249999997
-275000	-99.23459724349162
-274000	-100.43823110151186
-273000	-102.54485058697968
-272000	-101.0874077669903
-271000	-102.8126386404293
-270000	-101.8045294117647
-269000	-98.86820711974111
-268000	-97.18920384204911
-267000	-94.1221297297299
-266000	-89.45631261770242
-265000	-84.04065924092406
-264000	-79.42934516928158
-263000	-81.07262945368181
-262000	-83.32390217391313
-261000	-75.18546866485016
-260000	-71.4910064469914
-259000	-72.46215835140994
-258000	-77.64437093275492
-257000	-80.26418951612902
-256000	-84.4662007104796
-255000	-84.47704556166538
-254000	-84.28397585227272
-253000	-87.74104591104734
-252000	-83.78695695839312
-251000	-83.52042741935486
-250000	-87.63011158798291
-249000	-88.31261437908496
-248000	-87.06412707182321
-247000	-73.487
-246000	-81.7963814041745
-245000	-84.06758498896242
-244000	-78.20365121412799
-243000	-66.87073898305097
-242000	-54.89430038022828
-241000	-28.170489361702128
-240000	-10.91406142506139
-239000	-19.2600224719101
-238000	-28.986418604651167
-237000	-31.416038666666637
-236000	-37.165036605657235
-235000	-40.40024854142355
-234000	-43.96534883720929
-233000	-55.81450943396216
-232000	-63.02140327868852
-231000	-63.88261927710845
-230000	-61.69338118214711
-229000	-63.43814170040485
-228000	-64.98192641737036
-227000	-72.05161102831596
-226000	-77.03283505154639
-225000	-69.96813614262557
-224000	-64.769421686747
-223000	-70.10252530541014
-222000	-66.69764843749996
-221000	-63.11789156626507
-220000	-44.99138738738738
-219000	-38.906602620087355
-218000	-31.52302906976743
-217000	-27.697238410595972
-216000	-32.49962500000005
-215000	-34.254097297297285
-214000	-36.78764508393291
-213000	-41.25557675906172
-212000	-32.801972
-211000	-32.794871972318326
-210000	-40.528999999999996
-209000	-39.932855595667895
-208000	-39.98164748201435
-207000	-44.36724260958202
-206000	-40.399063564131694
-205000	-36.66197986577198
-204000	-34.20891622103387
-203000	-39.90587360000011
-202000	-42.289736745886586
-201000	-27.70164648910415
-200000	-24.551239726027397
-199000	-19.98781761006297
-198000	-6.6425501355013585
-197000	-7.221456603773593
-196000	-8.734567164179104
-195000	-24.372697604790204
-194000	-36.46824590163915
-193000	-34.69368072976059
-192000	-40.3861490683232
-191000	-57.07670930232567
-190000	-67.11354503990879
-189000	-65.22568337129843
-188000	-60.67281147540984
-187000	-61.9789989626556
-186000	-62.35768150684931
-185000	-67.20335056542821
-184000	-73.33511129296235
-183000	-74.06323717217789
-182000	-74.51505017103764
-181000	-75.476
-180000	-84.82494545454558
-179000	-77.91842580645186
-178000	-66.78686407766995
-177000	-65.11545508100163
-176000	-53.983732558139494
-175000	-65.13815384615383
-174000	-66.10440310077517
-173000	-56.17577330508481
-172000	-53.303302869287975
-171000	-52.95630075187971
-170000	-59.91909776833155
-169000	-69.04602919708026
-168000	-67.46042295430397
-167000	-71.48881727158953
-166000	-73.4222352941177
-165000	-86.74836305732485
-164000	-83.44996448598138
-163000	-80.81914408602147
-162000	-87.19898320610689
-161000	-85.13405051664758
-160000	-81.44696815286623
-159000	-85.06441311852703
-158000	-92.63043902439023
-157000	-92.5504387895461
-156000	-79.71981366459609
-155000	-86.52341884816758
-154000	-88.53707692307692
-153000	-88.47041424802109
-152000	-96.27819557195564
-151000	-96.47542882249559
-150000	-92.20387012987013
-149000	-89.84719444444447
-148000	-89.60598319327731
-147000	-88.39913888888888
-146000	-87.57234501347709
-145000	-85.84641416309012
-144000	-94.24035496183208
-143000	-94.34460326086958
-142000	-96.91186288088639
-141000	-87.02149645390054
-140000	-69.15918715083801
-139000	-69.62309523809515
-138000	-78.15752727272728
-137000	-76.81975909090912
-136000	-74.44917120622566
-135000	-76.90959701492535
-134000	-69.36862325581392
-133000	-56.57577142857146
-132000	-21.894223880597085
-131000	-17.39833057851255
-130000	-4.505027624309375
-129000	2.718545454545407
-128000	9.729519337016537
-127000	2.401651933701633
-126000	-1.2766685082872886
-125000	-6.154873303167419
-124000	-3.336500000000002
-123000	-8.871976744186027
-122000	-14.15569245647971
-121000	-10.075971014492731
-120000	-17.173240579710157
-119000	-24.415208897485513
-118000	-28.59947969052226
-117000	-29.819297872340428
-116000	-34.39479375
-115000	-34.24854492753622
-114000	-36.276505813953484
-113000	-37.37404408817637
-112000	-40.05770406189555
-111000	-43.27879704016917
-110000	-55.92559645232816
-109000	-48.20889573459723
-108000	-26.45448815165872
-107000	-27.08322419928826
-106000	-34.98843971631203
-105000	-32.59254492415411
-104000	-31.124807909604474
-103000	-20.693065975494765
-102000	-35.89368614514606
-101000	-32.118945334590016
-100000	-37.14172891566264
-99000	-39.012761421319794
-98000	-40.501446700507614
-97000	-43.98953807106598
-96000	-47.29933333333335
-95000	-47.94670886075951
-94000	-52.49810152284264
-93000	-53.75785532994924
-92000	-55.04627411167513
-91000	-52.68607224334601
-90000	-55.18273431734313
-89000	-66.71126235741447
-88000	-71.8260668449198
-87000	-68.37551824817521
-86000	-52.0238360655739
-85000	-37.503058823529436
-84000	-36.849750405186384
-83000	-39.917803278688545
-82000	-42.339392335766426
-81000	-47.921919708029236
-80000	-54.4443970856102
-79000	-58.858809917355394
-78000	-52.172333333333334
-77000	-52.917771587743744
-76000	-56.30492462311553
-75000	-66.1123584229391
-74000	-70.72207726763713
-73000	-63.2305684870188
-72000	-61.981951557093396
-71000	-72.84764251207733
-70000	-81.63293333333334
-69000	-86.53660344827586
-68000	-96.93340058479528
-67000	-92.15190076335882
-66000	-92.45047368421056
-65000	-98.71064900662253
-64000	-99.71048684210527
-63000	-97.42814285714284
-62000	-87.36900000000004
-61000	-73.1461632653061
-60000	-66.30961428571429
-59000	-68.19420000000001
-58000	-62.49941040462428
-57000	-69.86143951612901
-56000	-75.79078205128206
-55000	-73.9507984496124
-54000	-72.33389795918367
-53000	-61.07136792452829
-52000	-66.8014395604396
-51000	-72.31258992805755
-50000	-76.8154939759036
-49000	-81.15479338842974
-48000	-88.7700054945055
-47000	-82.72252709359607
-46000	-75.96074545454546
-45000	-76.452
-44000	-80.91166666666666
-43000	-79.13853521126761
-42000	-84.03040092165898
-41000	-81.2507117117117
-40000	-83.18740265486726
-39000	-83.5387327586207
-38000	-87.11635294117643
-37000	-72.40466255144032
-36000	-75.30743951612904
-35000	-84.61929032258065
-34000	-85.876875
-33000	-85.2834
-32000	-83.99995652173914
-31000	-90.89616101694916
-30000	-100.07740425531915
-29000	-104.84596979865772
-28000	-103.91309634551494
-27000	-102.07310526315788
-26000	-99.82283333333334
-25000	-105.32889393939394
-24000	-110.83495454545455
-23000	-115.44053327417924
-22000	-110.3526894409938
-21000	-105.26484560780834
-20000	-100.1770017746229
-19000	-95.08915794143745
-18000	-90.001314108252
-17000	-85.69243779571389
-16000	-82.33563289730031
-15000	-78.97882799888673
-14000	-75.62202310047314
