time sealevel 
-121950 -14.1104924
-121900 -14.0911571
-121850 -14.0718218
-121800 -14.0524864
-121750 -14.0331511
-121700 -14.0138157
-121650 -13.9944804
-121600 -13.6193830
-121550 -13.1661915
-121500 -12.7130000
-121450 -12.2598085
-121400 -11.8066170
-121350 -11.3534255
-121300 -10.9002340
-121250 -10.4470426
-121200 -9.9938511
-121150 -9.5406596
-121100 -9.4284783
-121050 -9.6857246
-121000 -9.9429710
-120950 -10.2002174
-120900 -10.4574638
-120850 -10.7147101
-120800 -10.9719565
-120750 -11.2834531
-120700 -11.6342344
-120650 -11.9850156
-120600 -12.3357969
-120550 -12.6865781
-120500 -13.0352375
-120450 -13.3814061
-120400 -13.7275747
-120350 -14.0737433
-120300 -14.4199119
-120250 -14.7909652
-120200 -15.2408203
-120150 -15.6906754
-120100 -16.1405304
-120050 -16.5903855
-120000 -17.0402406
-119950 -17.4900957
-119900 -17.8883108
-119850 -18.1862838
-119800 -18.4842568
-119750 -18.7822297
-119700 -19.0802027
-119650 -19.3781757
-119600 -19.6761486
-119550 -19.9741216
-119500 -20.2720946
-119450 -20.5700676
-119400 -20.8680405
-119350 -21.2090233
-119300 -21.5791506
-119250 -22.0297297
-119200 -22.4803089
-119150 -22.9308880
-119100 -23.3814672
-119050 -23.8320155
-119000 -24.2822089
-118950 -24.7324023
-118900 -25.1825957
-118850 -25.6327892
-118800 -26.0829826
-118750 -26.5331760
-118700 -26.9833694
-118650 -27.4335629
-118600 -27.8837563
-118550 -28.3339497
-118500 -28.5990000
-118450 -28.7990000
-118400 -28.8854855
-118350 -28.9134938
-118300 -28.9415021
-118250 -28.9695104
-118200 -28.9975187
-118150 -28.8848549
-118100 -28.7453965
-118050 -28.6059381
-118000 -28.4664797
-117950 -28.3270213
-117900 -28.1875629
-117850 -28.0481044
-117800 -27.9086460
-117750 -27.7691876
-117700 -27.6297292
-117650 -27.6286957
-117600 -27.7660870
-117550 -27.9034783
-117500 -28.0408696
-117450 -28.1782609
-117400 -28.3156522
-117350 -28.4530435
-117300 -28.6151180
-117250 -28.7936480
-117200 -28.9721779
-117150 -29.1507079
-117100 -29.3292379
-117050 -29.5077679
-117000 -29.6862979
-116950 -29.8648279
-116900 -30.0433578
-116850 -30.2218878
-116800 -30.4635014
-116750 -30.8846609
-116700 -31.3058203
-116650 -31.7269797
-116600 -32.1481391
-116550 -32.5692986
-116500 -32.9904580
-116450 -33.3099160
-116400 -33.4485714
-116350 -33.5872269
-116300 -33.7258824
-116250 -33.8645378
-116200 -34.0031933
-116150 -34.1418487
-116100 -34.2511687
-116050 -34.2564813
-116000 -34.2617938
-115950 -34.2671860
-115900 -34.2764884
-115850 -34.2792355
-115800 -34.2666873
-115750 -34.2541390
-115700 -34.2415907
-115650 -34.2290425
-115600 -34.2066821
-115550 -34.1123666
-115500 -34.0180510
-115450 -33.9237355
-115400 -33.8294200
-115350 -33.7351044
-115300 -33.6407889
-115250 -33.5464733
-115200 -33.4521578
-115150 -33.4535465
-115100 -33.5506395
-115050 -33.8101826
-115000 -34.1155449
-114950 -34.4209072
-114900 -34.7262696
-114850 -35.0316319
-114800 -35.3369942
-114750 -35.6423565
-114700 -35.7252085
-114650 -35.7777181
-114600 -35.8302278
-114550 -35.8827375
-114500 -35.9352471
-114450 -35.9877568
-114400 -36.0402664
-114350 -36.0927761
-114300 -36.1452857
-114250 -36.1977954
-114200 -36.2138547
-114150 -36.1962674
-114100 -36.1786802
-114050 -36.1610930
-114000 -36.1435058
-113950 -36.1259186
-113900 -36.1083314
-113850 -36.0134894
-113800 -35.8751915
-113750 -35.7368936
-113700 -35.5985957
-113650 -35.4602979
-113600 -35.3220000
-113550 -35.1837021
-113500 -35.0454043
-113450 -34.9071064
-113400 -34.7688085
-113350 -34.7757594
-113300 -35.1356145
-113250 -35.4954696
-113200 -35.8553246
-113150 -36.2151797
-113100 -36.5750348
-113050 -36.9348899
-113000 -37.2410441
-112950 -37.4595812
-112900 -37.6781182
-112850 -37.8966553
-112800 -38.1151924
-112750 -38.3337295
-112700 -38.5522665
-112650 -38.7708036
-112600 -38.9893407
-112550 -39.2078778
-112500 -39.3823953
-112450 -39.4922791
-112400 -39.5941815
-112350 -39.6791236
-112300 -39.7640656
-112250 -39.8490077
-112200 -39.9339498
-112150 -40.0033308
-112100 -39.9771219
-112050 -39.9509130
-112000 -39.9247041
-111950 -39.8984952
-111900 -39.8722863
-111850 -39.8460774
-111800 -39.8198685
-111750 -39.7936596
-111700 -39.7674507
-111650 -39.7412418
-111600 -39.9350725
-111550 -40.1839130
-111500 -40.4327536
-111450 -40.6815942
-111400 -40.9304348
-111350 -41.1792754
-111300 -41.4281159
-111250 -41.6320550
-111200 -41.9348034
-111150 -42.2375518
-111100 -42.5403002
-111050 -42.8430486
-111000 -43.1457970
-110950 -43.4485455
-110900 -43.7512939
-110850 -44.0540423
-110800 -44.3567907
-110750 -45.0238667
-110700 -45.9772000
-110650 -46.9305333
-110600 -47.8838667
-110550 -48.8372000
-110500 -49.7905333
-110450 -50.7438667
-110400 -51.4280732
-110350 -51.9736386
-110300 -52.5192040
-110250 -53.0647694
-110200 -53.6103348
-110150 -54.1559002
-110100 -54.7014656
-110050 -55.2470310
-110000 -55.7925965
-109950 -55.9238267
-109900 -55.8219933
-109850 -55.7201600
-109800 -55.6183267
-109750 -55.5164933
-109700 -55.4146600
-109650 -55.1148358
-109600 -54.7036418
-109550 -54.2924478
-109500 -53.7536667
-109450 -53.2095694
-109400 -52.6654722
-109350 -52.1213750
-109300 -51.5772778
-109250 -51.0294648
-109200 -50.4667887
-109150 -49.8751848
-109100 -49.2754218
-109050 -48.6756588
-109000 -48.0758957
-108950 -47.2452986
-108900 -46.2333318
-108850 -45.2213649
-108800 -44.2093981
-108750 -43.1974313
-108700 -42.1854645
-108650 -41.1734976
-108600 -40.1615308
-108550 -39.0962979
-108500 -37.6404468
-108450 -36.1845957
-108400 -34.7287447
-108350 -33.2728936
-108300 -31.8170426
-108250 -30.6449479
-108200 -29.7802559
-108150 -28.9155640
-108100 -28.0508720
-108050 -27.1861801
-108000 -26.3214882
-107950 -25.4567962
-107900 -24.5921043
-107850 -23.7691844
-107800 -23.9487943
-107750 -24.1284043
-107700 -24.3080142
-107650 -24.4876241
-107600 -24.6672340
-107550 -24.8757547
-107500 -25.1276415
